Account,Label,Parent,
1,Actifs,,
10,Actifs circulants,1,Actifs
14,Actifs immobilisés,1,Actifs
100,Liquidité et titres,10,Actifs circulants
110,Créances,10,Actifs circulants
120,Stocks et travaux en cours,10,Actifs circulants
130,Actifs de régularisation (actifs transitoires),10,Actifs circulants
1000,Caisse,100,Liquidité et titres
1010,Chèques postaux,100,Liquidité et titres
1020,Compte Bancaire,100,Liquidité et titres
1020.1,Compte Entreprise BCV 5110.55.74,1020,Compte Bancaire
1020.2,Compte Immobilier BCV 5106.55.80,1020,Compte Bancaire
1100,Créances envers des tiers,110,Créances
1110,Comptes de loyer,110,Créances
1110.1,Compte de loyer studio 6 Baye 5 Montreux,1110,Comptes de loyer
1110.2,Compte de loyer studio 8 Baye 5 Montreux,1110,Comptes de loyer
1110.3,Compte de loyer Appartement Vaudrès Clarens,1110,Comptes de loyer
1110.4,Compte de loyer Appartement Riviera Chailly sur Clarens,1110,Comptes de loyer
1110.5,Compte de loyer studio Vinet Clarens,1110,Comptes de loyer
1110.6,Compte de loyer studio 7 Baye 5 Montreux,1110,Comptes de loyer
1110.7,Compte location place de parc Chailly,1110,Comptes de loyer
1120,Acomptes,110,Créances
1120.1,Acomptes frais notaire,1120,Acomptes
1120.2,Acomptes achat objet,1120,Acomptes
1176,Impôt anticipé à récupérer,110,Créances
1180,Provisions impôts,110,Créances
1200,Stocks de marchandises,120,Stocks et travaux en cours
1210,Stocks de matières premières,120,Stocks et travaux en cours
1300,Charges constatées d'avance,130,Actifs de régularisation (actifs transitoires)
1301,Produits à recevoir,130,Actifs de régularisation (actifs transitoires)
1500,Machines et appareils,14,Actifs immobilisés
1510,Mobilier d'exploitation,14,Actifs immobilisés
1510.1,Mobilier Studio 6 Baye 5 Montreux,1510,Mobilier d'exploitation
1510.2,Mobilier Studio 8 Baye 5 Montreux,1510,Mobilier d'exploitation
1510.3,Mobilier Vaudrès 11 Clarens,1510,Mobilier d'exploitation
1510.4,Mobilier Riviera Chailly sur Clarens,1510,Mobilier d'exploitation
1510.5,Mobilier Studio Vinet Clarens,1510,Mobilier d'exploitation
1510.6,Mobilier Studio 7 Baye 5 Montreux,1510,Mobilier d'exploitation
1512,Installations d'entrepôts,14,Actifs immobilisés
1520,Machines de bureau,14,Actifs immobilisés
1521,Infrastructures informatiques,14,Actifs immobilisés
1526,Logiciels,14,Actifs immobilisés
1530,Automobiles,14,Actifs immobilisés
1600,Bâtiments d'exploitation,14,Actifs immobilisés
1600.1,Studio 6 Baye 5 Montreux,1600,Bâtiments d'exploitation
1600.2,Studio 8 Baye 5 Montreux,1600,Bâtiments d'exploitation
1600.3,Appartement  Vaudrès 11 Clarens,1600,Bâtiments d'exploitation
1600.4,Appartement Ecoliers 13 Chailly sur Clarens,1600,Bâtiments d'exploitation
1600.5,Studio Vinet Clarens,1600,Bâtiments d'exploitation
1600.6,Studio 7 Baye 5 Montreux,1600,Bâtiments d'exploitation
